date,close,volume,open,high,low
3/26/2019,1184.62,1894639,1198.53,1202.83,1176.72
3/25/2019,1193,1493841,1196.93,1206.3975,1187.04
3/22/2019,1205.5,1668910,1226.32,1230,1202.825
3/21/2019,1231.54,1195899,1216,1231.79,1213.15
3/20/2019,1223.97,2089367,1197.35,1227.14,1196.17
3/19/2019,1198.85,1404863,1188.81,1200,1185.87
3/18/2019,1184.26,1212506,1183.3,1190,1177.4211
3/15/2019,1184.46,2457597,1193.38,1196.57,1182.61
3/14/2019,1185.55,1150950,1194.51,1197.88,1184.48
3/13/2019,1193.32,1434816,1200.645,1200.93,1191.94
3/12/2019,1193.2,2012306,1178.26,1200,1178.26
3/11/2019,1175.76,1569332,1144.45,1176.19,1144.45
3/8/2019,1142.32,1212271,1126.73,1147.08,1123.3
3/7/2019,1143.3,1166076,1155.72,1156.755,1134.91
3/6/2019,1157.86,1094100,1162.49,1167.5658,1155.49
3/5/2019,1162.03,1422357,1150.06,1169.61,1146.195
3/4/2019,1147.8,1444774,1146.99,1158.2804,1130.69
3/1/2019,1140.99,1447454,1124.9,1142.97,1124.75
2/28/2019,1119.92,1541068,1111.3,1127.65,1111.01
2/27/2019,1116.05,968362,1106.95,1117.98,1101
2/26/2019,1115.13,1469761,1105.75,1119.51,1099.92
2/25/2019,1109.4,1395281,1116,1118.54,1107.27
2/22/2019,1110.37,1048361,1100.9,1111.24,1095.6
2/21/2019,1096.97,1414744,1110.84,1111.94,1092.52
2/20/2019,1113.8,1080144,1119.99,1123.41,1105.28
2/19/2019,1118.56,1046315,1110,1121.89,1110
2/15/2019,1113.65,1442461,1130.08,1131.67,1110.65
2/14/2019,1121.67,941678,1118.05,1128.23,1110.445
2/13/2019,1120.16,1048630,1124.99,1134.73,1118.5
2/12/2019,1121.37,1608658,1106.8,1125.295,1105.85
2/11/2019,1095.01,1063825,1096.95,1105.945,1092.86
2/8/2019,1095.06,1072031,1087,1098.91,1086.55
2/7/2019,1098.71,2040615,1104.16,1104.84,1086
2/6/2019,1115.23,2101674,1139.57,1147,1112.77
2/5/2019,1145.99,3529974,1124.84,1146.85,1117.248
2/4/2019,1132.8,2518184,1112.66,1132.8,1109.02
2/1/2019,1110.75,1455609,1112.4,1125,1104.89
1/31/2019,1116.37,1531463,1103,1117.33,1095.41
1/30/2019,1089.06,1241760,1068.43,1091,1066.85
1/29/2019,1060.62,1006731,1072.68,1075.15,1055.8647
1/28/2019,1070.08,1277745,1080.11,1083,1063.8
1/25/2019,1090.99,1114785,1085,1094,1081.82
1/24/2019,1073.9,1317718,1076.48,1079.475,1060.7
1/23/2019,1075.57,956526,1077.35,1084.93,1059.75
1/22/2019,1070.52,1607398,1088,1091.51,1063.47
1/18/2019,1098.26,1933754,1100,1108.352,1090.9
1/17/2019,1089.9,1223674,1079.47,1091.8,1073.5
1/16/2019,1080.97,1320530,1080,1092.375,1079.34
1/15/2019,1077.15,1452238,1050.17,1080.05,1047.34
1/14/2019,1044.69,1127417,1046.92,1051.53,1041.255
1/11/2019,1057.19,1512651,1063.18,1063.775,1048.48
1/10/2019,1070.33,1444976,1067.66,1071.15,1057.71
1/9/2019,1074.66,1198369,1081.65,1082.63,1066.4
1/8/2019,1076.28,1748371,1076.11,1084.56,1060.53
1/7/2019,1068.39,1978077,1071.5,1073.9999,1054.76
1/4/2019,1070.71,2080144,1032.59,1070.84,1027.4179
1/3/2019,1016.06,1829379,1041,1056.98,1014.07
1/2/2019,1045.85,1516681,1016.57,1052.32,1015.71
12/31/2018,1035.61,1492541,1050.96,1052.7,1023.59
12/28/2018,1037.08,1399218,1049.62,1055.56,1033.1
12/27/2018,1043.88,2102069,1017.15,1043.89,997
12/26/2018,1039.46,2337212,989.01,1040,983
12/24/2018,976.22,1590328,973.9,1003.54,970.11
12/21/2018,979.54,4560424,1015.3,1024.02,973.69
12/20/2018,1009.41,2659047,1018.13,1034.22,996.36
12/19/2018,1023.01,2419322,1033.99,1062,1008.05
12/18/2018,1028.71,2101854,1026.09,1049.48,1021.44
12/17/2018,1016.53,2337631,1037.51,1053.15,1007.9
12/14/2018,1042.1,1685802,1049.98,1062.6,1040.79
12/13/2018,1061.9,1329198,1068.07,1079.7597,1053.93
12/12/2018,1063.68,1523276,1068,1081.65,1062.79
12/11/2018,1051.75,1354751,1056.49,1060.6,1039.84
12/10/2018,1039.55,1793465,1035.05,1048.45,1023.29
12/7/2018,1036.58,2098526,1060.01,1075.26,1028.5
12/6/2018,1068.73,2758098,1034.26,1071.2,1030.7701
12/4/2018,1050.82,2278200,1103.12,1104.42,1049.98
12/3/2018,1106.43,1900355,1123.14,1124.65,1103.6645
11/30/2018,1094.43,2554416,1089.07,1095.57,1077.88
11/29/2018,1088.3,1403540,1076.08,1094.245,1076
11/28/2018,1086.23,2399374,1048.76,1086.84,1035.76
11/27/2018,1044.41,1801334,1041,1057.58,1038.49
11/26/2018,1048.62,1846430,1038.35,1049.31,1033.91
11/23/2018,1023.88,691462,1030,1037.59,1022.3992
11/21/2018,1037.61,1531676,1036.76,1048.56,1033.47
11/20/2018,1025.76,2447254,1000,1031.74,996.02
11/19/2018,1020,1837207,1057.2,1060.79,1016.2601
11/16/2018,1061.49,1641232,1059.41,1067,1048.98
11/15/2018,1064.71,1819132,1044.71,1071.85,1031.78
11/14/2018,1043.66,1561656,1050,1054.5643,1031
11/13/2018,1036.05,1496534,1043.29,1056.605,1031.15
11/12/2018,1038.63,1429319,1061.39,1062.12,1031
11/9/2018,1066.15,1343154,1073.99,1075.56,1053.11
11/8/2018,1082.4,1463022,1091.38,1093.27,1072.2048
11/7/2018,1093.39,2057155,1069,1095.46,1065.9
11/6/2018,1055.81,1225197,1039.48,1064.345,1038.07
11/5/2018,1040.09,2436742,1055,1058.47,1021.24
11/2/2018,1057.79,1829295,1073.73,1082.975,1054.61
11/1/2018,1070,1456222,1075.8,1083.975,1062.46
10/31/2018,1076.77,2528584,1059.81,1091.94,1057
10/30/2018,1036.21,3209126,1008.46,1037.49,1000.75
10/29/2018,1020.08,3873644,1082.47,1097.04,995.83
10/26/2018,1071.47,4185201,1037.03,1106.53,1034.09
10/25/2018,1095.57,2511884,1071.79,1110.98,1069.55
