GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
322,110,3,3.5,2.5,8.67,1,0.8
307,107,2,3.0,3.5,8.52,1,0.78
317,110,3,4.0,4.5,9.11,1,0.8
316,109,4,4.5,3.5,8.76,1,0.74
324,100,3,4.0,5.0,8.64,1,0.78
299,100,2,2.0,2.0,7.88,0,0.51
312,98,1,3.5,3.0,8.18,1,0.64
298,99,1,1.5,3.0,7.46,0,0.53
331,112,5,4.0,5.0,9.8,1,0.94
327,109,3,3.5,4.0,8.77,1,0.79
306,103,3,3.5,3.0,8.21,0,0.64
298,98,2,4.0,3.0,8.03,0,0.34
312,104,3,3.5,4.0,8.09,0,0.71
310,103,2,2.5,2.5,8.24,0,0.72
311,104,2,2.5,3.5,8.48,0,0.71
333,113,5,4.0,4.0,9.28,1,0.89
299,102,3,4.0,3.5,8.62,0,0.56
338,117,4,3.5,4.5,9.46,1,0.91
309,99,3,4.0,4.0,8.56,0,0.76
303,100,2,3.0,3.5,8.06,1,0.64
321,114,4,4.0,5.0,9.12,0,0.85
336,118,5,4.5,4.0,9.19,1,0.92
304,100,2,2.5,3.5,8.07,0,0.64
334,117,5,4.0,4.5,9.07,1,0.89
300,98,1,2.0,2.5,8.02,0,0.61
315,99,2,3.5,3.0,7.89,0,0.63
324,113,5,4.0,5.0,9.25,1,0.92
305,105,2,3.0,2.0,8.23,0,0.67
317,101,3,3.0,2.0,7.94,1,0.49
316,106,2,2.5,4.0,8.32,0,0.72
313,102,3,2.5,2.5,8.68,0,0.71
301,98,1,2.0,3.0,8.03,1,0.67
299,96,2,1.5,2.0,7.86,0,0.54
305,96,4,3.0,4.5,8.26,0,0.54
331,116,5,5.0,5.0,9.38,1,0.93
326,112,3,3.5,3.0,9.05,1,0.74
315,105,3,2.0,2.5,8.34,0,0.7
315,104,3,3.0,2.5,8.33,0,0.67
297,101,3,2.0,4.0,7.67,1,0.57
305,102,2,2.0,2.5,8.18,0,0.62
322,114,5,4.5,4.0,8.94,1,0.86
315,101,3,3.5,4.5,9.13,0,0.79
314,106,3,3.0,5.0,8.9,0,0.74
298,101,4,2.5,4.5,7.69,1,0.53
334,119,5,4.5,4.5,9.48,1,0.94
305,104,2,2.5,1.5,7.79,0,0.53
308,106,3,3.5,2.5,8.21,1,0.75
323,110,4,4.0,5.0,8.88,1,0.81
324,110,3,3.5,4.0,8.87,1,0.8
310,106,4,4.5,4.5,9.04,1,0.66
309,100,2,3.0,3.0,8.1,0,0.48
330,120,5,4.5,5.0,9.56,1,0.93
316,110,3,3.5,4.0,8.56,0,0.75
327,106,4,4.0,4.5,8.75,1,0.76
326,114,4,4.0,3.5,9.16,1,0.86
314,105,3,3.5,2.5,8.3,0,0.54
332,116,5,5.0,5.0,9.28,1,0.94
316,109,3,3.5,3.0,8.76,0,0.77
295,101,2,2.5,2.0,7.86,0,0.69
309,111,2,2.5,4.0,8.03,0,0.6
324,114,5,5.0,4.5,9.08,1,0.89
313,101,3,2.5,3.0,8.04,0,0.62
299,100,3,2.0,2.0,8.02,0,0.63
324,112,4,4.5,4.0,9.22,1,0.86
312,107,4,4.5,4.0,8.65,1,0.73
315,110,2,3.5,3.0,8.46,1,0.72
321,114,5,4.5,4.5,9.16,1,0.87
314,108,3,4.5,3.5,8.14,0,0.64
297,99,4,3.0,3.5,7.81,0,0.54
312,107,3,3.0,2.0,7.9,1,0.64
336,119,4,4.5,4.0,9.62,1,0.95
321,112,5,5.0,5.0,9.06,1,0.86
324,113,4,4.5,4.5,9.25,1,0.89
319,112,3,2.5,2.0,8.71,1,0.78
330,116,5,5.0,4.5,9.36,1,0.93
296,99,2,2.5,2.5,8.03,0,0.61
327,104,5,3.0,3.5,8.84,1,0.71
326,111,5,4.5,4.0,9.23,1,0.88
319,102,3,2.5,2.5,8.37,0,0.68
310,107,3,3.5,3.5,8.67,0,0.76
331,115,5,4.5,3.5,9.36,1,0.93
299,100,1,1.5,2.0,7.89,0,0.59
312,103,3,5.0,4.0,8.45,0,0.76
328,112,4,4.0,4.5,9.1,1,0.78
326,102,4,5.0,5.0,8.76,1,0.77
321,109,3,3.0,4.0,8.2,1,0.75
314,107,2,2.5,4.0,8.27,0,0.72
308,105,4,3.0,2.5,7.95,1,0.67
297,96,2,2.5,2.0,7.43,0,0.34
310,99,2,1.5,2.0,7.3,0,0.54
