,class,a1,a2,a3,a4,a5,a6,Id
0,1,1,1,1,1,1,2,data_2
1,1,1,1,1,1,2,1,data_3
2,1,1,1,1,1,2,2,data_4
3,0,1,1,1,1,3,1,data_5
4,0,1,1,1,1,4,1,data_7
5,1,1,1,1,2,1,1,data_9
6,1,1,1,1,2,2,2,data_12
7,0,1,1,1,2,4,2,data_16
9,0,1,1,2,1,4,2,data_32
11,0,1,1,2,2,4,1,data_39
12,0,1,1,2,2,4,2,data_40
13,1,1,1,2,3,1,1,data_41
15,1,1,1,2,3,3,1,data_45
17,1,1,2,1,1,3,1,data_53
18,1,1,2,1,2,2,1,data_59
19,1,1,2,1,2,2,2,data_60
20,0,1,2,1,2,3,1,data_61
21,1,1,2,1,3,1,1,data_65
22,1,1,2,1,3,1,2,data_66
23,1,1,2,1,3,2,1,data_67
24,1,1,2,1,3,2,2,data_68
25,1,1,2,1,3,3,2,data_70
27,1,1,2,2,1,3,1,data_77
28,0,1,2,2,1,4,2,data_80
29,1,1,2,2,2,1,1,data_81
30,1,1,2,2,2,2,1,data_83
31,1,1,2,2,2,2,2,data_84
32,1,1,2,2,3,1,1,data_89
33,1,1,2,2,3,2,1,data_91
34,1,1,2,2,3,2,2,data_92
35,0,1,3,1,1,2,1,data_99
36,0,1,3,1,1,4,1,data_103
37,0,1,3,1,2,3,2,data_110
38,0,1,3,1,2,4,1,data_111
39,0,1,3,1,3,1,1,data_113
40,0,1,3,1,3,3,1,data_117
41,0,1,3,2,1,1,1,data_121
42,0,1,3,2,1,1,2,data_122
43,0,1,3,2,1,2,1,data_123
44,0,1,3,2,1,4,2,data_128
45,0,1,3,2,2,3,2,data_134
46,0,1,3,2,2,4,2,data_136
47,0,1,3,2,3,4,1,data_143
48,1,2,1,1,1,1,1,data_145
49,1,2,1,1,1,1,2,data_146
50,0,2,1,1,1,4,1,data_151
53,1,2,1,1,2,1,2,data_154
54,1,2,1,1,3,2,2,data_164
57,1,2,1,2,1,2,2,data_172
59,1,2,1,2,3,1,2,data_186
61,0,2,2,1,1,4,2,data_200
62,1,2,2,1,2,1,2,data_202
63,0,2,2,1,2,2,1,data_203
64,1,2,2,1,3,1,1,data_209
65,1,2,2,1,3,2,2,data_212
66,0,2,2,1,3,3,1,data_213
67,0,2,2,1,3,3,2,data_214
68,0,2,2,1,3,4,2,data_216
69,1,2,2,2,1,2,2,data_220
70,1,2,2,2,2,1,2,data_226
71,1,2,2,2,2,3,1,data_229
72,1,2,2,2,2,3,2,data_230
73,0,2,2,2,3,4,1,data_239
74,1,2,3,1,1,3,1,data_245
75,0,2,3,1,2,1,1,data_249
77,0,2,3,1,2,2,2,data_252
78,0,2,3,1,2,3,2,data_254
79,0,2,3,1,3,3,1,data_261
80,0,2,3,2,1,1,2,data_266
81,0,2,3,2,1,2,2,data_268
82,0,2,3,2,1,4,1,data_271
85,0,2,3,2,3,1,1,data_281
87,0,2,3,2,3,4,2,data_288
88,1,3,1,1,1,1,1,data_289
90,1,3,1,1,1,3,1,data_293
91,0,3,1,1,2,4,2,data_304
92,1,3,1,1,3,1,2,data_306
93,0,3,1,1,3,4,2,data_312
95,1,3,1,2,2,3,2,data_326
96,0,3,1,2,2,4,2,data_328
97,1,3,1,2,3,1,1,data_329
98,1,3,2,1,1,2,2,data_340
99,0,3,2,1,1,4,1,data_343
100,1,3,2,1,2,3,1,data_349
101,1,3,2,1,3,1,2,data_354
102,1,3,2,2,1,2,2,data_364
104,1,3,2,2,2,1,2,data_370
105,1,3,2,2,3,1,1,data_377
107,0,3,2,2,3,4,1,data_383
108,1,3,3,1,1,3,2,data_390
109,1,3,3,1,1,4,1,data_391
110,0,3,3,1,2,4,2,data_400
111,0,3,3,1,3,1,1,data_401
112,0,3,3,1,3,2,1,data_403
113,0,3,3,1,3,2,2,data_404
115,0,3,3,2,1,1,1,data_409
116,0,3,3,2,1,1,2,data_410
118,0,3,3,2,2,3,2,data_422
119,0,3,3,2,3,1,1,data_425
120,0,3,3,2,3,3,2,data_430
121,0,3,3,2,3,4,2,data_432
