,class,a1,a2,a3,a4,a5,a6,Id
10,0,1,2,1,1,2,1,data_51
21,0,1,2,2,2,4,1,data_87
24,0,1,2,2,3,3,1,data_93
35,0,1,3,2,1,2,2,data_124
38,0,1,3,2,2,3,2,data_134
44,0,1,3,2,3,4,2,data_144
48,1,2,1,1,2,1,2,data_154
55,0,2,1,2,1,3,1,data_173
62,1,2,2,1,1,2,2,data_196
70,1,2,2,2,1,1,1,data_217
72,1,2,2,2,1,4,1,data_223
100,0,3,2,1,2,4,2,data_352
105,0,3,2,2,3,2,1,data_379
107,1,3,3,1,1,1,1,data_385
115,1,3,3,1,3,4,2,data_408
116,1,3,3,2,1,1,1,data_409
119,1,3,3,2,1,4,2,data_416
120,1,3,3,2,3,1,2,data_426
