GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
312,109,3,3.0,3.0,8.69,0,0.77
317,101,3,3.0,2.0,7.94,1,0.49
314,99,4,3.5,4.5,8.73,1,0.71
317,100,2,3.0,2.5,8.57,0,0.68
300,97,2,3.0,3.0,8.1,1,0.65
320,104,3,3.0,2.5,8.57,1,0.74
326,112,3,3.5,3.0,9.05,1,0.74
308,106,3,3.0,3.0,8.24,0,0.58
321,112,3,3.0,4.5,8.95,1,0.77
319,103,3,2.5,4.0,8.76,1,0.73
304,100,2,2.5,3.5,8.07,0,0.64
334,119,5,4.5,5.0,9.54,1,0.94
340,120,4,4.5,4.0,9.92,1,0.97
337,117,5,5.0,5.0,9.87,1,0.96
329,114,5,4.5,5.0,9.19,1,0.86
325,110,2,3.0,2.5,8.76,1,0.75
300,99,1,1.0,2.5,8.01,0,0.58
302,101,2,2.5,3.5,7.96,0,0.46
332,117,4,4.5,4.0,9.1,0,0.87
304,101,2,2.0,2.5,7.66,0,0.38
306,103,2,2.5,3.0,8.36,0,0.69
318,103,3,4.0,4.5,8.49,1,0.71
340,113,4,5.0,5.0,9.74,1,0.96
312,98,1,3.5,3.0,8.18,1,0.64
314,106,3,3.0,5.0,8.9,0,0.74
300,101,3,3.5,2.5,7.88,0,0.59
311,104,3,4.5,4.5,8.43,0,0.7
305,104,2,2.5,1.5,7.79,0,0.53
330,120,5,4.5,5.0,9.56,1,0.93
330,114,3,4.5,4.5,9.24,1,0.9
316,110,3,4.0,4.5,8.78,1,0.69
313,101,3,2.5,3.0,8.04,0,0.62
307,105,2,2.0,3.5,8.1,0,0.53
328,110,4,4.0,2.5,9.02,1,0.81
324,107,5,3.5,4.0,8.66,1,0.81
325,107,3,3.0,3.5,9.11,1,0.84
312,106,3,4.0,3.5,8.79,1,0.81
294,95,1,1.5,1.5,7.64,0,0.49
299,106,2,4.0,4.0,8.4,0,0.64
307,109,3,4.0,3.0,8.0,1,0.62
327,104,5,3.0,3.5,8.84,1,0.71
321,109,4,4.0,4.0,9.13,1,0.85
310,110,1,1.5,4.0,7.23,1,0.58
321,112,5,5.0,5.0,9.06,1,0.86
312,103,3,3.5,4.0,8.78,0,0.67
317,105,3,3.5,3.0,8.56,0,0.68
322,110,3,4.0,5.0,8.64,1,0.85
316,100,2,1.5,3.0,8.16,1,0.71
322,103,4,3.0,2.5,8.02,1,0.61
320,112,2,3.5,3.5,8.78,1,0.73
323,104,3,4.0,4.0,8.44,1,0.73
331,115,5,4.0,3.5,9.44,1,0.92
299,100,1,1.5,2.0,7.89,0,0.59
302,99,2,1.0,2.0,7.97,0,0.56
317,107,3,4.0,3.0,8.7,0,0.66
316,106,2,2.5,4.0,8.32,0,0.72
301,99,3,2.5,2.0,8.45,1,0.68
312,105,2,2.5,3.0,8.12,0,0.64
313,98,3,2.5,4.5,8.3,1,0.76
316,109,4,4.5,3.5,8.76,1,0.74
317,106,2,2.0,3.5,8.12,0,0.73
320,104,3,3.5,4.5,8.34,1,0.74
328,116,4,5.0,3.5,9.6,1,0.93
321,109,3,3.0,3.0,8.54,1,0.79
328,115,4,4.5,4.0,9.16,1,0.78
324,111,5,4.5,4.0,9.16,1,0.9
316,102,3,2.0,3.0,7.4,0,0.64
306,103,3,3.5,3.0,8.21,0,0.64
323,107,3,3.5,3.5,8.55,1,0.73
305,107,2,2.5,2.5,8.42,0,0.71
312,105,2,1.5,3.0,8.46,0,0.66
314,109,4,3.5,4.0,8.77,1,0.82
308,108,3,3.5,3.5,8.22,0,0.61
326,111,5,4.5,4.0,9.23,1,0.88
304,102,2,3.0,4.0,8.73,0,0.67
312,107,3,3.0,2.0,7.9,1,0.64
330,116,4,5.0,4.5,9.45,1,0.91
298,98,2,4.0,3.0,8.03,0,0.34
311,104,2,2.5,3.5,8.48,0,0.71
322,104,3,3.5,4.0,8.84,1,0.78
321,114,4,4.0,5.0,9.12,0,0.85
312,108,3,3.5,3.0,8.53,0,0.69
322,112,4,3.5,2.5,9.02,1,0.73
305,102,2,2.0,2.5,8.18,0,0.62
298,105,3,3.5,4.0,8.54,0,0.69
322,110,5,5.0,4.0,9.1,1,0.88
323,113,4,4.0,4.5,9.23,1,0.89
298,100,3,2.5,4.0,7.95,1,0.58
314,107,2,2.5,4.0,8.27,0,0.72
293,97,2,2.0,4.0,7.8,1,0.64
309,100,2,3.0,3.0,8.1,0,0.48
336,119,5,4.0,3.5,9.8,1,0.97
320,103,3,3.0,3.0,7.7,0,0.64
331,116,5,4.0,4.0,9.26,1,0.93
307,107,2,3.0,3.5,8.52,1,0.78
316,111,4,4.0,5.0,8.54,0,0.71
322,109,5,4.5,3.5,8.8,0,0.76
333,113,5,4.0,4.0,9.28,1,0.89
306,105,2,3.0,2.5,8.26,0,0.73
338,120,4,5.0,5.0,9.66,1,0.95
311,104,2,2.0,2.0,8.3,0,0.42
334,119,5,4.5,4.5,9.48,1,0.94
325,114,5,4.0,5.0,9.46,1,0.91
298,97,2,2.0,3.0,7.21,0,0.45
315,105,2,2.0,2.5,7.65,0,0.39
325,110,4,4.5,4.0,8.96,1,0.79
321,114,5,4.5,4.5,9.16,1,0.87
305,108,5,3.0,3.0,8.48,0,0.61
311,104,3,3.5,2.0,8.2,1,0.61
321,109,3,3.0,4.0,8.2,1,0.75
320,108,3,3.5,4.0,8.44,1,0.76
312,104,3,3.5,4.0,8.09,0,0.71
324,112,5,5.0,5.0,9.08,1,0.88
326,114,3,3.0,3.0,9.11,1,0.83
297,101,3,2.0,4.0,7.67,1,0.57
325,111,3,3.0,3.5,8.7,0,0.52
314,108,3,4.5,3.5,8.14,0,0.64
322,112,4,4.5,4.5,9.26,1,0.91
326,116,3,3.5,4.0,9.14,1,0.81
314,102,2,2.0,2.5,8.24,0,0.64
308,106,3,3.5,2.5,8.21,1,0.75
335,117,5,5.0,5.0,9.82,1,0.96
319,102,3,2.5,2.5,8.37,0,0.68
297,99,4,3.0,3.5,7.81,0,0.54
331,115,5,4.5,3.5,9.36,1,0.93
332,108,5,4.5,4.0,9.02,1,0.87
325,110,4,3.5,4.0,8.67,1,0.73
308,108,4,4.5,5.0,8.34,0,0.77
320,110,5,5.0,5.0,9.2,1,0.88
334,116,4,4.0,3.5,9.54,1,0.93
323,107,4,3.0,2.5,8.48,1,0.78
319,105,4,4.0,4.5,8.66,1,0.77
308,103,2,3.0,3.5,8.49,0,0.66
296,97,2,1.5,2.0,7.8,0,0.49
301,102,3,2.5,2.0,8.13,1,0.68
327,113,4,4.5,4.5,9.11,1,0.89
318,107,3,3.0,3.5,8.27,1,0.74
309,104,2,2.0,2.5,8.26,0,0.65
340,120,4,5.0,5.0,9.5,1,0.96
318,109,3,3.0,3.0,8.5,0,0.67
