Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
420,308,102,2,2.0,3.5,7.98,1,0.58
382,319,105,3,3.0,3.5,8.67,1,0.73
122,334,119,5,4.5,4.5,9.48,1,0.94
205,298,105,3,3.5,4.0,8.54,0,0.69
363,338,115,5,4.5,5.0,9.23,1,0.91
253,318,100,2,2.5,3.5,8.54,1,0.71
298,320,120,3,4.0,4.5,9.11,0,0.86
488,327,115,4,3.5,4.0,9.14,0,0.79
279,308,103,2,3.0,3.5,8.49,0,0.66
394,317,104,2,3.0,3.0,8.76,0,0.77
387,302,101,2,2.5,3.5,7.96,0,0.46
66,325,112,4,3.5,3.5,8.92,0,0.55
229,318,112,3,4.0,3.5,8.67,0,0.71
74,314,108,4,4.5,4.0,9.04,1,0.84
252,316,99,2,2.5,3.0,9.0,0,0.7
173,322,110,4,4.0,5.0,9.13,1,0.86
149,339,116,4,4.0,3.5,9.8,1,0.96
158,309,104,2,2.0,2.5,8.26,0,0.65
179,309,108,3,2.5,3.0,8.12,0,0.72
232,319,106,3,3.5,2.5,8.33,1,0.74
292,300,102,2,1.5,2.0,7.87,0,0.56
309,312,108,3,3.5,3.0,8.53,0,0.69
278,320,101,2,2.5,3.0,8.62,0,0.7
152,332,116,5,5.0,5.0,9.28,1,0.94
100,323,113,3,4.0,4.0,8.88,1,0.79
386,335,117,5,5.0,5.0,9.82,1,0.96
151,334,114,4,4.0,4.0,9.43,1,0.93
408,298,100,3,2.5,4.0,7.95,1,0.58
442,332,112,1,1.5,3.0,8.66,1,0.79
352,325,110,4,3.5,4.0,8.67,1,0.73
478,309,105,4,3.5,2.0,8.18,0,0.65
11,325,106,3,3.5,4.0,8.4,1,0.52
378,290,100,1,1.5,2.0,7.56,0,0.47
329,324,112,4,4.0,3.5,8.77,1,0.8
25,336,119,5,4.0,3.5,9.8,1,0.97
405,311,101,3,2.0,2.5,7.64,1,0.62
247,316,105,3,3.0,3.5,8.73,0,0.72
134,323,112,5,4.0,4.5,8.78,0,0.79
