GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
317,103,2,2.5,2.0,8.15,0,0.65
302,102,3,3.5,5.0,8.33,0,0.65
317,110,3,4.0,4.5,9.11,1,0.8
323,111,5,4.0,5.0,9.86,1,0.92
309,105,4,3.5,2.0,8.18,0,0.65
332,118,2,4.5,3.5,9.36,1,0.9
324,100,3,4.0,5.0,8.64,1,0.78
302,99,3,2.5,3.0,7.45,0,0.52
299,100,2,2.0,2.0,7.88,0,0.51
312,99,1,1.0,1.5,8.01,1,0.52
327,109,3,3.5,4.0,8.77,1,0.79
314,104,4,5.0,5.0,9.02,0,0.82
296,101,1,2.5,3.0,7.68,0,0.6
312,105,3,2.0,3.0,8.02,1,0.5
304,103,5,5.0,3.0,7.92,0,0.71
324,107,4,4.0,4.5,8.87,1,0.76
318,100,2,2.5,3.5,8.54,1,0.71
308,110,4,3.5,3.0,8.6,0,0.7
327,111,4,3.0,4.0,8.4,1,0.78
308,102,2,2.0,3.5,7.98,1,0.58
316,105,3,3.0,3.5,8.73,0,0.72
312,100,1,3.0,3.0,8.53,1,0.69
329,111,4,4.5,4.0,9.23,1,0.89
330,115,5,4.5,3.0,9.34,1,0.9
325,108,4,4.5,4.0,9.06,1,0.79
334,114,4,4.0,4.0,9.43,1,0.93
298,99,2,4.0,2.0,7.6,0,0.46
329,110,2,4.0,3.0,9.15,1,0.84
305,105,2,3.0,2.0,8.23,0,0.67
325,114,4,3.0,2.0,8.4,0,0.7
334,116,4,4.0,3.0,8.0,1,0.78
317,106,1,1.5,3.5,7.65,1,0.61
301,98,1,2.0,3.0,8.03,1,0.67
305,96,4,3.0,4.5,8.26,0,0.54
322,107,3,3.5,3.5,8.46,1,0.71
329,111,4,4.5,4.0,9.01,1,0.81
317,104,2,4.5,4.0,8.47,0,0.57
316,103,3,3.5,2.0,7.68,0,0.52
321,111,3,3.5,4.0,8.83,1,0.77
315,101,3,3.5,4.5,9.13,0,0.79
325,112,4,4.0,4.0,9.0,1,0.8
318,112,3,4.0,3.5,8.67,0,0.71
312,107,2,2.5,3.5,8.27,0,0.69
295,93,1,2.0,2.0,7.2,0,0.46
324,110,3,3.5,4.0,8.87,1,0.8
327,113,4,3.5,3.0,8.69,1,0.8
324,110,3,3.5,3.5,9.04,1,0.82
323,108,3,3.5,3.0,8.6,0,0.45
299,94,1,1.0,1.0,7.34,0,0.42
314,105,3,3.5,2.5,8.3,0,0.54
315,104,3,4.0,2.5,8.1,0,0.65
302,102,1,2.0,1.5,8.0,0,0.5
301,106,4,2.5,3.0,8.47,0,0.57
314,107,3,3.0,3.5,8.17,1,0.73
339,116,4,4.0,3.5,9.8,1,0.96
304,103,5,5.0,4.0,8.64,0,0.68
300,105,1,1.0,2.0,7.8,0,0.58
320,101,2,2.5,3.0,8.62,0,0.7
340,120,5,4.5,4.5,9.91,1,0.97
320,120,3,4.0,4.5,9.11,0,0.86
325,112,2,3.0,3.5,8.96,1,0.8
314,107,2,2.5,4.0,8.56,0,0.63
314,103,2,2.0,3.0,8.21,0,0.65
325,112,4,4.0,4.5,9.17,1,0.85
336,119,4,4.5,4.0,9.62,1,0.95
311,103,3,2.0,4.0,8.09,0,0.64
324,113,4,4.5,4.5,9.25,1,0.89
312,105,2,2.0,2.5,8.45,0,0.72
309,105,5,3.5,3.5,8.56,0,0.71
295,96,2,1.5,2.0,7.34,0,0.47
314,105,2,2.5,2.0,7.64,0,0.7
319,112,3,2.5,2.0,8.71,1,0.78
321,102,3,3.5,4.0,9.01,1,0.8
340,115,5,4.5,4.5,9.45,1,0.94
321,110,3,3.5,5.0,8.85,1,0.82
294,93,1,1.5,2.0,7.36,0,0.46
322,105,2,3.0,3.0,8.45,1,0.65
310,106,4,1.5,2.5,8.36,0,0.57
321,111,4,4.0,4.0,8.97,1,0.87
311,105,2,3.0,2.0,8.12,1,0.73
313,94,2,2.5,1.5,8.13,0,0.56
315,103,1,1.5,2.0,7.86,0,0.57
325,111,4,4.0,4.5,9.11,1,0.83
318,101,5,3.5,5.0,8.78,1,0.78
313,102,3,2.0,3.0,8.27,0,0.64
325,112,4,3.5,3.5,8.92,0,0.55
326,102,4,5.0,5.0,8.76,1,0.77
316,98,1,1.5,2.0,7.43,0,0.49
303,102,3,3.5,3.0,8.5,0,0.62
310,99,2,1.5,2.0,7.3,0,0.54
