Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
4,322,110,3,3.5,2.5,8.67,1,0.8
142,332,118,2,4.5,3.5,9.36,1,0.9
457,299,100,2,2.0,2.0,7.88,0,0.51
163,318,109,3,3.0,3.0,8.5,0,0.67
289,314,104,4,5.0,5.0,9.02,0,0.82
254,335,115,4,4.5,4.5,9.68,1,0.93
484,304,103,5,5.0,3.0,7.92,0,0.71
204,334,120,5,4.0,5.0,9.87,1,0.97
262,312,104,3,3.5,4.0,8.09,0,0.71
248,311,104,2,2.5,3.5,8.48,0,0.71
135,333,113,5,4.0,4.0,9.28,1,0.89
150,311,106,2,3.5,3.0,8.26,1,0.79
117,299,102,3,4.0,3.5,8.62,0,0.56
286,331,116,5,4.0,4.0,9.26,1,0.93
431,311,104,3,4.0,3.5,8.13,1,0.74
57,316,102,3,2.0,3.0,7.4,0,0.64
144,340,120,4,4.5,4.0,9.92,1,0.97
79,296,95,2,3.0,2.0,7.54,1,0.44
456,305,102,2,1.5,2.5,7.64,0,0.59
265,325,110,2,3.0,2.5,8.76,1,0.75
421,299,100,3,2.0,3.0,7.42,0,0.42
410,300,98,1,2.0,2.5,8.02,0,0.61
34,340,114,5,4.0,4.0,9.6,1,0.9
42,316,105,2,2.5,2.5,8.2,1,0.49
379,303,98,1,2.0,2.5,7.65,0,0.56
46,322,110,5,5.0,4.0,9.1,1,0.88
228,312,110,2,3.5,3.0,8.53,0,0.64
230,324,111,4,3.0,3.0,9.01,1,0.82
330,297,96,2,2.5,1.5,7.89,0,0.43
370,301,98,1,2.0,3.0,8.03,1,0.67
271,306,105,2,2.5,3.0,8.22,1,0.72
460,329,113,4,4.0,3.5,9.36,1,0.89
325,315,104,3,3.0,2.5,8.33,0,0.67
104,317,104,2,4.5,4.0,8.47,0,0.57
250,321,111,3,3.5,4.0,8.83,1,0.77
450,315,101,3,3.5,4.5,9.13,0,0.79
384,300,100,3,3.0,3.5,8.26,0,0.62
441,305,104,2,2.5,1.5,7.79,0,0.53
333,308,106,3,3.5,2.5,8.21,1,0.75
33,338,118,4,3.0,4.5,9.4,1,0.91
12,327,111,4,4.0,4.5,9.0,1,0.84
390,320,108,3,3.5,4.0,8.44,1,0.76
249,324,110,3,3.5,4.0,8.87,1,0.8
497,337,117,5,5.0,5.0,9.87,1,0.96
453,328,116,4,5.0,3.5,9.6,1,0.93
223,324,113,4,4.5,4.0,8.79,0,0.76
320,327,113,4,3.5,3.0,8.69,1,0.8
498,330,120,5,4.5,5.0,9.56,1,0.93
319,324,111,3,2.5,2.0,8.8,1,0.79
480,325,110,4,4.5,4.0,8.96,1,0.79
155,326,108,3,3.0,3.5,8.89,0,0.8
437,310,110,1,1.5,4.0,7.23,1,0.58
195,316,109,3,3.5,3.0,8.76,0,0.77
9,302,102,1,2.0,1.5,8.0,0,0.5
186,327,113,4,4.5,4.5,9.11,1,0.89
82,340,120,4,5.0,5.0,9.5,1,0.96
220,312,104,3,3.5,3.5,8.42,0,0.74
94,301,97,2,3.0,3.0,7.88,1,0.44
328,295,101,2,2.5,2.0,7.86,0,0.69
83,320,110,5,5.0,4.5,9.22,1,0.92
444,321,114,5,4.5,4.5,9.16,1,0.87
89,314,108,3,4.5,3.5,8.14,0,0.64
331,327,113,3,3.5,3.0,8.66,1,0.8
283,312,106,3,4.0,3.5,8.79,1,0.81
343,308,106,3,3.0,3.0,8.24,0,0.58
14,307,109,3,4.0,3.0,8.0,1,0.62
245,314,107,2,2.5,4.0,8.56,0,0.63
5,314,103,2,2.0,3.0,8.21,0,0.65
472,311,103,3,2.0,4.0,8.09,0,0.64
180,307,102,3,3.0,3.0,8.27,0,0.73
160,297,100,1,1.5,2.0,7.9,0,0.52
388,307,105,2,2.0,3.5,8.1,0,0.53
481,321,102,3,3.5,4.0,9.01,1,0.8
251,320,104,3,3.0,2.5,8.57,1,0.74
80,294,93,1,1.5,2.0,7.36,0,0.46
60,311,104,2,2.0,2.0,8.3,0,0.42
446,328,116,5,4.5,5.0,9.08,1,0.91
471,320,110,5,4.0,4.0,9.27,1,0.87
276,322,110,3,3.5,3.0,8.96,1,0.78
146,320,113,2,2.0,2.5,8.64,1,0.81
364,306,103,2,2.5,3.0,8.36,0,0.69
297,310,107,3,3.5,3.5,8.67,0,0.76
362,334,116,4,4.0,3.5,9.54,1,0.93
356,317,106,2,2.0,3.5,8.12,0,0.73
20,303,102,3,3.5,3.0,8.5,0,0.62
475,308,105,4,3.0,2.5,7.95,1,0.67
198,310,106,2,3.5,2.5,8.33,0,0.73
377,297,96,2,2.5,2.0,7.43,0,0.34
402,315,105,2,3.0,3.0,8.34,0,0.66
31,300,97,2,3.0,3.0,8.1,1,0.65
