fixed acidity;"volatile acidity""""";"citric acid""""";"residual sugar""""";"chlorides""""";"free sulfur dioxide""""";"total sulfur dioxide""""";"density""""";"pH""""";"sulphates""""";"alcohol""""";"quality"""""""
6.7;0.16;0.49;2.4;0.046;57.0;187.0;0.9952;3.62;0.81;10.4;6
7.3;0.24;0.43;2.0;0.021;20.0;69.0;0.99;3.08;0.56;12.2;6
6.1;0.3;0.56;2.7;0.046;46.0;184.0;0.9924;3.31;0.57;10.9;6
6.9;0.35;0.39;2.4;0.048;25.0;157.0;0.9913299999999999;3.2;0.54;11.1;7
5.7;0.26;0.27;4.1;0.201;73.5;189.5;0.9942;3.27;0.38;9.4;6
7.0;0.24;0.36;4.9;0.083;10.0;133.0;0.9942;3.33;0.37;10.8;6
7.6;0.15;0.4;1.3;0.036000000000000004;24.0;112.0;0.9932;3.14;0.76;10.0;5
8.0;0.45;0.28;10.8;0.051;25.0;157.0;0.9957;3.06;0.47;11.4;7
7.6;0.17;0.35;1.6;0.047;43.0;154.0;0.9934;3.36;0.69;11.1;6
6.8;0.18;0.3;12.8;0.062;19.0;171.0;0.99808;3.0;0.52;9.0;7
8.8;0.33;0.44;6.35;0.024;9.0;87.0;0.9917;2.96;0.4;12.6;7
5.7;0.23;0.28;9.65;0.025;26.0;121.0;0.9925;3.28;0.38;11.3;6
6.7;0.11;0.26;14.8;0.053;44.0;95.0;0.9967600000000001;3.2;0.35;9.8;6
7.1;0.28;0.44;1.8;0.032;32.0;107.0;0.9907;3.25;0.48;12.2;7
7.6;0.1;0.33;1.0;0.031;33.0;93.0;0.9909399999999999;3.06;0.68;11.2;6
7.6;0.23;0.26;15.3;0.067;32.0;166.0;0.9986;3.03;0.44;9.2;4
7.4;0.25;0.36;13.2;0.067;53.0;178.0;0.9976;3.01;0.48;9.0;6
9.7;0.14;0.59;1.5;0.049;23.0;142.0;0.9958;2.98;0.62;9.5;5
7.0;0.21;0.37;7.2;0.042;36.0;167.0;0.9958;3.26;0.56;9.8;6
6.9;0.26;0.29;4.2;0.043;33.0;114.0;0.9902;3.16;0.31;12.5;6
8.3;0.2;0.49;1.7;0.04;34.0;169.0;0.9938;3.05;0.37;10.1;5
8.5;0.28;0.34;13.8;0.040999999999999995;32.0;161.0;0.9981;3.13;0.4;9.9;6
6.5;0.4;0.31;3.5;0.046;22.0;147.0;0.99024;3.15;0.31;12.0;7
9.5;0.21;0.47;1.3;0.039;21.0;123.0;0.9959;2.9;0.64;9.5;5
6.9;0.22;0.32;9.3;0.04;22.0;110.0;0.9958;3.34;0.54;10.7;7
7.4;0.29;0.31;1.7;0.035;23.0;110.0;0.9926;3.07;0.38;10.9;5
6.7;0.26;0.39;6.4;0.171;64.0;200.0;0.9956200000000001;3.19;0.38;9.4;6
6.2;0.17;0.28;4.7;0.037000000000000005;39.0;133.0;0.9931;3.41;0.46;10.8;7
5.8;0.3;0.27;1.7;0.013999999999999999;45.0;104.0;0.9891399999999999;3.4;0.56;12.6;7
5.8;0.6;0.0;1.3;0.044000000000000004;72.0;197.0;0.9920200000000001;3.56;0.43;10.9;5
6.9;0.28;0.33;1.2;0.039;16.0;98.0;0.9904;3.07;0.39;11.7;6
7.2;0.34;0.28;10.4;0.10800000000000001;43.0;187.0;0.9973799999999999;2.96;0.57;9.4;5
6.1;0.16;0.34;6.1;0.034;31.0;114.0;0.99365;3.32;0.58;10.1333333333333;7
7.4;0.32;0.55;16.6;0.055999999999999994;53.0;238.0;1.0017;2.96;0.58;8.7;6
6.8;0.15;0.33;4.7;0.059000000000000004;31.0;118.0;0.9956;3.43;0.39;9.0;7
6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
7.5;0.23;0.36;7.0;0.036000000000000004;43.0;161.0;0.9938;3.04;0.32;11.0;5
6.9;0.4;0.37;8.9;0.053;36.0;148.0;0.996;3.16;0.5;9.3;5
5.3;0.16;0.39;1.0;0.027999999999999997;40.0;101.0;0.99156;3.57;0.59;10.6;6
7.3;0.24;0.34;15.4;0.05;38.0;174.0;0.9983;3.03;0.42;9.0;6
7.4;0.2;0.35;2.1;0.038;30.0;116.0;0.9949;3.49;0.77;10.3;7
6.3;0.3;0.34;1.6;0.049;14.0;132.0;0.9940000000000001;3.3;0.49;9.5;6
7.7;0.24;0.29;15.3;0.044000000000000004;39.0;194.0;0.9982;3.06;0.47;9.6;7
6.6;0.285;0.49;11.4;0.035;57.0;137.0;0.9973200000000001;3.08;0.54;8.9;6
6.1;0.31;0.26;2.2;0.051;28.0;167.0;0.9926;3.37;0.47;10.4;6
5.1;0.35;0.26;6.8;0.034;36.0;120.0;0.9918799999999999;3.38;0.4;11.5;6
7.6;0.19;0.41;1.1;0.04;38.0;143.0;0.9907;2.92;0.42;11.4;5
6.7;0.23;0.26;1.4;0.06;33.0;154.0;0.9934;3.24;0.56;9.5;6
7.1;0.2;0.36;11.6;0.042;45.0;124.0;0.997;2.92;0.59;9.5;7
6.9;0.25;0.35;9.2;0.034;42.0;150.0;0.9947;3.21;0.36;11.5;6
6.9;0.28;0.3;8.3;0.026000000000000002;37.0;113.0;0.99139;2.99;0.38;12.3;8
7.1;0.24;0.34;1.2;0.045;6.0;132.0;0.9913200000000001;3.16;0.46;11.2;4
7.4;0.24;0.29;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;9.5;5
7.8;0.3;0.29;16.85;0.054000000000000006;23.0;135.0;0.9998;3.16;0.38;9.0;6
7.3;0.28;0.37;1.2;0.039;26.0;99.0;0.99198;3.01;0.62;10.8;5
5.9;0.24;0.3;2.0;0.033;28.0;92.0;0.99225;3.39;0.69;10.9;7
6.1;0.3;0.47;1.4;0.049;50.0;187.0;0.9927;3.19;0.45;9.5;5
